thscode,trade_date,open,high,low,close,volume
700001.TI,2024-04-26,2889.038,2941.486,2889.03,2938.965,985131674.63
700001.TI,2024-04-29,2940.374,2998.223,2940.374,2991.497,1094504642.4
700001.TI,2024-04-30,2989.131,2993.852,2972.793,2974.34,970885508.52
700001.TI,2024-05-06,3010.507,3027.038,3009.386,3024.789,981556799.3
700001.TI,2024-05-07,3024.171,3033.113,3016.87,3029.743,880149842.27
700001.TI,2024-05-08,3021.91,3021.91,2995.061,2997.12,800963522.24
700001.TI,2024-05-09,2997.03,3038.514,2997.03,3034.172,818397311.91
700001.TI,2024-05-10,3037.6,3041.371,3006.493,3022.2,860534859.35
700001.TI,2024-05-13,3003.534,3016.077,2985.89,3003.935,849674429.1
700001.TI,2024-05-14,3006.43,3020.764,2997.627,3008.075,775530215.3
700001.TI,2024-05-15,3004.123,3005.309,2981.086,2983.155,742475932.09
700001.TI,2024-05-16,2990.946,3007.443,2982.632,2989.676,829405116.38
700001.TI,2024-05-17,2988.648,3024.015,2983.417,3024.015,871332287.24
700001.TI,2024-05-20,3026.078,3043.473,3025.408,3037.397,954819061.11
700001.TI,2024-05-21,3031.124,3031.554,3008.517,3017.957,782855210.61
700001.TI,2024-05-22,3016.924,3028.404,3013.7,3023.838,795826404.28
700001.TI,2024-05-23,3014.045,3014.082,2969.469,2975.522,830502784.13
700001.TI,2024-05-24,2968.401,2987.875,2943.813,2944.413,725849490.04
700001.TI,2024-05-27,2948.945,2973.121,2932.658,2972.244,735374696.91
700001.TI,2024-05-28,2968.084,2973.509,2944.437,2947.159,721426515.94
700001.TI,2024-05-29,2944.687,2966.773,2940.584,2951.701,694842016.54
700001.TI,2024-05-30,2945.495,2960.564,2932.026,2937.696,701466790.82
700001.TI,2024-05-31,2940.5,2958.153,2938.575,2938.575,675138971.93
700001.TI,2024-06-03,2936.608,2943.72,2904.634,2923.111,807552848.47
700001.TI,2024-06-04,2915.852,2941.987,2903.079,2937.502,727685883.78
700001.TI,2024-06-05,2931.298,2940.591,2907.257,2907.257,685100732.13
700001.TI,2024-06-06,2912.646,2920.879,2865.115,2873.024,869924923.06
700001.TI,2024-06-07,2883.716,2897.949,2852.749,2876.672,710074641.06
700001.TI,2024-06-11,2863.324,2878.852,2847.325,2873.001,665971299.06
700001.TI,2024-06-12,2869.69,2890.427,2868.999,2885.08,638753877.63
700001.TI,2024-06-13,2887.881,2888.675,2865.876,2870.823,676313216.42
700001.TI,2024-06-14,2865.028,2884.461,2857.31,2880.74,743666378.04
700001.TI,2024-06-17,2866.655,2882.309,2864.547,2876.395,655677912.2
700001.TI,2024-06-18,2875.758,2895.882,2875.758,2894.176,662049993.64
700001.TI,2024-06-19,2897.002,2897.414,2875.23,2876.683,628134820.05
700001.TI,2024-06-20,2873.384,2882.266,2838.977,2840.733,684290848.95
700001.TI,2024-06-21,2833.682,2850.187,2823.969,2838.117,583006827.13
700001.TI,2024-06-24,2820.75,2822.579,2785.702,2787.076,676960360.45
700001.TI,2024-06-25,2786.039,2796.332,2755.147,2771.171,622955557.9
700001.TI,2024-06-26,2767.383,2816.277,2758.338,2813.173,655333370.69
700001.TI,2024-06-27,2803.433,2803.433,2775.709,2775.709,623350428.45
700001.TI,2024-06-28,2769.695,2814.431,2769.695,2787.479,687599915.02
700001.TI,2024-07-01,2785.631,2811.444,2770.353,2808.046,648376512.72
700001.TI,2024-07-02,2805.383,2815.126,2790.637,2798.139,654211599.49
700001.TI,2024-07-03,2796.866,2798.464,2778.799,2783.085,592528337.38
700001.TI,2024-07-04,2786.243,2794.827,2745.285,2746.813,629163148.36
700001.TI,2024-07-05,2744.518,2760.044,2720.639,2754.298,591054427.89
700001.TI,2024-07-08,2747.952,2747.953,2706.834,2712.93,610373107.83
700001.TI,2024-07-09,2710.551,2761.949,2692.119,2756.209,714278148.91
700001.TI,2024-07-10,2746.563,2766.153,2740.694,2744.959,658895371.22
700001.TI,2024-07-11,2775.401,2798.318,2765.206,2797.515,755570531.02
700001.TI,2024-07-12,2793.766,2805.089,2789.867,2797.297,673688810.21
700001.TI,2024-07-15,2790.048,2793.056,2778.277,2783.373,603379069.92
700001.TI,2024-07-16,2778.766,2798.156,2773.845,2797.082,590926652.72
700001.TI,2024-07-17,2794.656,2798.322,2780.095,2784.857,633513421.05
